eprtr_facility_id,facility_name,country,iso3,analysis_year,temp_band,heat_MWh,least_cost_pathway_grid,least_cost_pathway_off,pathway_flip,lcoh_winner_grid,lcoh_winner_off,delta_winner_lcoh,lcoh_gas_grid,lcoh_gas_off,lcoh_hb_grid,lcoh_hb_off,lcoh_hp_grid,lcoh_hp_off,elec_grid_EUR_MWh,elec_off_hb_EUR_MWh,elec_off_hp_EUR_MWh,gas_EUR_MWh
CZ.MZP.K413/CZ67078452.FACILITY,Synthomer a.s.,Czechia,CZE,2022,mid,191306.43,natural_gas,heat_battery,natural_gas → heat_battery,111.739,44.744,-66.995,111.739,111.739,191.764,44.744,,,170.65,38.332,139.78,83.346
CZ.MZP.T806/CZ95150686.FACILITY,Liberty Ostrava a.s.,Czechia,CZE,2022,high,1377881.03,natural_gas,heat_battery,natural_gas → heat_battery,111.739,44.744,-66.995,111.739,111.739,191.764,44.744,,,170.65,38.332,139.78,83.346
CZ.MZP.E532/CZ66069097.FACILITY,Elektrárna Opatovice,Czechia,CZE,2022,mid,5246455.39,natural_gas,heat_battery,natural_gas → heat_battery,111.739,44.744,-66.995,111.739,111.739,191.764,44.744,,,170.65,38.332,139.78,83.346
CZ.MZP.Z723/CZ11453276.FACILITY,"DEZA, a.s., Valašské Meziříčí",Czechia,CZE,2022,mid,243695.32,natural_gas,heat_battery,natural_gas → heat_battery,111.739,44.744,-66.995,111.739,111.739,191.764,44.744,,,170.65,38.332,139.78,83.346
CZ.MZP.U425/CZ88860818.FACILITY,Teplárna Komořany,Czechia,CZE,2022,mid,3043792.45,natural_gas,heat_battery,natural_gas → heat_battery,111.739,44.744,-66.995,111.739,111.739,191.764,44.744,,,170.65,38.332,139.78,83.346
CZ.MZP.Z724/CZ15297397.FACILITY,Teplárna Zlín s.r.o.,Czechia,CZE,2022,mid,696385.09,natural_gas,heat_battery,natural_gas → heat_battery,111.739,44.744,-66.995,111.739,111.739,191.764,44.744,,,170.65,38.332,139.78,83.346
CZ.MZP.T802/CZ10693120.FACILITY,Provozy  Teplárny  a  Tepelná  energetika,Czechia,CZE,2022,mid,1506689.96,natural_gas,heat_battery,natural_gas → heat_battery,111.739,44.744,-66.995,111.739,111.739,191.764,44.744,,,170.65,38.332,139.78,83.346
CZ.MZP.T802/CZ33886785.FACILITY,Teplárna Frýdek-Místek,Czechia,CZE,2022,mid,162752.76,natural_gas,heat_battery,natural_gas → heat_battery,111.739,44.744,-66.995,111.739,111.739,191.764,44.744,,,170.65,38.332,139.78,83.346
CZ.MZP.S203/CZ84874607.FACILITY,Teplárna Kladno - ELEKTRÁRNA KLADNO,Czechia,CZE,2022,mid,4991450.38,natural_gas,heat_battery,natural_gas → heat_battery,111.739,44.744,-66.995,111.739,111.739,191.764,44.744,,,170.65,38.332,139.78,83.346
CZ.MZP.T806/CZ01171445.FACILITY,Provoz 46 - Teplárna,Czechia,CZE,2022,mid,2457400.59,natural_gas,heat_battery,natural_gas → heat_battery,111.739,44.744,-66.995,111.739,111.739,191.764,44.744,,,170.65,38.332,139.78,83.346
